estimator	min_score	mean_score	max_score	std_score	augmentation_k	augmentation_type	n_components	max_depth	C	gamma
SVC	0.39351851851851855	0.4863227513227514	0.5992063492063492	0.07958064200059414	10	<function random_augment at 0x112173f80>	10	NaN	1000000.0	1e-07
SVC	0.34722222222222215	0.48624338624338626	0.7380952380952381	0.1341946700007946	2	<function random_augment at 0x112173f80>	14	NaN	1000.0	1.0
RandomForestClassifier	0.38888888888888884	0.4862169312169312	0.5825396825396825	0.06327157482685221	4	<function random_augment at 0x112173f80>	14	6	NaN	NaN
SVC	0.39814814814814814	0.4861904761904762	0.5992063492063492	0.0746319506212047	10	<function random_augment at 0x112173f80>	10	NaN	1.0	0.01
SVC	0.39814814814814814	0.4861904761904762	0.5992063492063492	0.0746319506212047	10	<function random_augment at 0x112173f80>	10	NaN	10.0	0.001
SVC	0.39814814814814814	0.4861904761904762	0.5992063492063492	0.0746319506212047	10	<function random_augment at 0x112173f80>	10	NaN	100.0	0.0001
SVC	0.39814814814814814	0.4861904761904762	0.5992063492063492	0.0746319506212047	10	<function random_augment at 0x112173f80>	10	NaN	1000.0	1e-05
SVC	0.39814814814814814	0.4861904761904762	0.5992063492063492	0.0746319506212047	10	<function random_augment at 0x112173f80>	10	NaN	10000.0	1e-06
SVC	0.39814814814814814	0.4861904761904762	0.5992063492063492	0.0746319506212047	10	<function random_augment at 0x112173f80>	10	NaN	100000.0	1e-07
SVC	0.38425925925925924	0.4860582010582011	0.6015873015873016	0.07130361399950605	10	<function random_augment at 0x112173f80>	10	NaN	0.1	10.0
SVC	0.335978835978836	0.4859523809523809	0.6936507936507935	0.13383379035622156	1	<function random_augment at 0x112173f80>	11	NaN	100000.0	0.1
SVC	0.3333333333333333	0.48584656084656086	0.5879629629629629	0.09572882098225521	1	<function random_augment at 0x112173f80>	10	NaN	100000.0	1e-07
SVC	0.3333333333333333	0.48584656084656086	0.5879629629629629	0.09572882098225521	1	<function random_augment at 0x112173f80>	11	NaN	100.0	0.0001
SVC	0.3333333333333333	0.48584656084656086	0.5879629629629629	0.09572882098225521	1	<function random_augment at 0x112173f80>	11	NaN	1000.0	1e-05
SVC	0.38888888888888884	0.48576719576719574	0.7714285714285714	0.14507531283053687	2	<function random_augment at 0x112173f80>	14	NaN	10000.0	1.0
SVC	0.3055555555555555	0.4856613756613757	0.5936507936507937	0.11697207742116711	4	<function random_augment at 0x112173f80>	14	NaN	0.1	0.1
SVC	0.3101851851851852	0.48550264550264555	0.7238095238095238	0.1556362179735781	1	<function random_augment at 0x112173f80>	13	NaN	1000.0	0.1
SVC	0.38888888888888884	0.48550264550264544	0.565079365079365	0.0773193849043756	0	<function random_augment at 0x112173f80>	13	NaN	100.0	0.1
SVC	0.3148148148148148	0.48547619047619045	0.6714285714285714	0.12405631578334364	3	<function random_augment at 0x112173f80>	12	NaN	10000.0	1.0
SVC	0.28835978835978837	0.48537037037037034	0.5787037037037037	0.10487753492574835	0	<function random_augment at 0x112173f80>	11	NaN	100000.0	0.01
SVC	0.30026455026455023	0.4852910052910053	0.6936507936507935	0.13603671076038695	1	<function random_augment at 0x112173f80>	12	NaN	100000.0	0.1
SVC	0.2824074074074074	0.4852116402116402	0.6714285714285714	0.12713071345256835	3	<function random_augment at 0x112173f80>	10	NaN	100000.0	1.0
SVC	0.4417989417989418	0.4851851851851852	0.5899470899470899	0.05316341454848874	3	<function random_augment at 0x112173f80>	14	NaN	1000.0	0.01
SVC	0.38888888888888884	0.4851851851851852	0.5793650793650794	0.07250028839348421	3	<function random_augment at 0x112173f80>	12	NaN	1000.0	0.01
SVC	0.3101851851851852	0.4851851851851851	0.6362433862433862	0.12692114288965278	2	<function random_augment at 0x112173f80>	13	NaN	1000.0	0.01
SVC	0.38888888888888884	0.48510582010582004	0.5992063492063492	0.0818823711926451	20	<function random_augment at 0x112173f80>	11	NaN	1000.0	0.0001
SVC	0.3148148148148148	0.48505291005291007	0.5899470899470899	0.09675779002671048	3	<function random_augment at 0x112173f80>	11	NaN	100.0	1.0
SVC	0.3941798941798942	0.48492063492063486	0.5634920634920635	0.0643004098429495	0	<function random_augment at 0x112173f80>	11	NaN	1000000.0	1e-06
SVC	0.34722222222222215	0.48492063492063486	0.5621693121693122	0.08330540390286788	3	<function random_augment at 0x112173f80>	12	NaN	100000.0	0.0001
SVC	0.27314814814814814	0.4847883597883598	0.5462962962962963	0.10599357474902449	3	<function random_augment at 0x112173f80>	10	NaN	100.0	1.0
SVC	0.4212962962962963	0.4847619047619047	0.5423280423280423	0.04666110238096206	10	<function random_augment at 0x112173f80>	11	NaN	1000.0	10.0
SVC	0.35648148148148145	0.48473544973544974	0.5542328042328042	0.07112278264635225	4	<function random_augment at 0x112173f80>	14	NaN	10000000.0	1.0
SVC	0.3465608465608465	0.4845767195767195	0.5787037037037037	0.08634985475428304	0	<function random_augment at 0x112173f80>	10	NaN	100000.0	1.0
