	cprp_MW	cprp_MP	cprp_BP	cprp_density	func_absorbent	func_antiadhesivecohesive	func_antioxidant	func_antiredepositionagent	func_biocide	func_brightener	func_chemicalreactionregulator	func_colorant	func_deodorizer	func_filler	func_flavouringnutrient	func_hardener	func_humectant	func_opacifier	func_UVstabilizer	func_viscositymodifier	pgen_AC	pgen_CP	pgen_EL	pgen_HM	pgen_PC	pgen_PE	pgen_VE	pgrp_apparel	pgrp_bodyhygiene	pgrp_childspecific	pgrp_coldrelief	pgrp_dentalcare	pgrp_deodorant	pgrp_enginemaintenance	pgrp_fabrictreatmentdye	pgrp_facialcleansingmoisturizing	pgrp_firstaid	pgrp_foodstorage	pgrp_footcare	pgrp_fungicide	pgrp_generalhouseholdcleaning	pgrp_generalmoisturizing	pgrp_largeappliances	pgrp_makeuprelated	pgrp_nutritionalsupplements	pgrp_paintstainrelated	pgrp_portableairprocessing	pgrp_sunscreen	pgrp_surfacesealers	pgrp_toys	mtrx_spray	mtrx_formulation	mtrx_WFmeasured
33	192.22	2450.0	4428.0	22.42	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
34	47.867	1660.0	3287.0	4.506	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
35	60.085	1600.0	2230.0	2.5915	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
36	107.868	961.78	2162.0	10.345	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
37	196.967	1063.0	2966.0	19.32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
38	81.37	1975.0	2360.0	5.605	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
39	247.98	1250.0	3900.0	7.5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
40	247.98	1250.0	3900.0	7.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
41	247.98	1250.0	3900.0	7.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
42	247.98	1250.0	3900.0	7.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
