,ID_BLT,ENM,CASRN,maximum_weight_fraction,size_avg_nm,propMW,propMP,propBP,propDensity,PUCID,gencatID,group,product_type,refined_product_type,assignedID,absorbent,antioxidant,antistain_agent,biocide,brightener,chemical_reaction_regulator,colorant,dehydrating_agent,deodorizer,dispersing_agent,filler,flavouring_nutrient,fuel_agent,hardener,humectant,lubricating_agent,opacifier,uv_stabilizer,viscosity_modifier,OECD_function,functionSum,LOD,measured
39,CPI_44,Tungsten disulfide,12138-09-9,0.07,50,247.98,1250,3900,7.5,VE.0500.030.099.F,VE,engine maintenance ,auto lubricant ,NOC,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"chemical_reaction_regulator
lubricating_agent",2,0,0
40,CPI_45,Tungsten disulfide,12138-09-9,0.05,50,247.98,1250,3900,7.5,VE.0500.030.099.F,VE,engine maintenance ,auto lubricant ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lubricating_agent,1,0,0
41,CPI_46,Tungsten disulfide,12138-09-9,0.05,50,247.98,1250,3900,7.5,VE.0500.030.099.F,VE,engine maintenance ,auto lubricant ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lubricating_agent,1,0,0
42,CPI_47,Tungsten disulfide,12138-09-9,0.05,50,247.98,1250,3900,7.5,VE.0500.030.099.F,VE,engine maintenance ,auto lubricant ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lubricating_agent,1,0,0
43,CPI_48,Tungsten disulfide,12138-09-9,0.05,50,247.98,1250,3900,7.5,VE.0500.030.099.F,VE,engine maintenance ,auto lubricant ,NOC,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,lubricating_agent,1,0,0
44,CPI_49,Titanium dioxide,13463-67-7,0.06,1000,79.867,1843,2972,4.23,PC.2300.010.099.F,PC,make-up and related ,blush/bronzer,NOC,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"brightener
viscosity_modifier",2,0,0
45,CPI_50,Zinc oxide,1314-13-2,0.06,1000,81.37,1975,2360,5.605,PC.2300.010.099.F,PC,make-up and related ,blush/bronzer,NOC,F,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"colorant
filler",2,0,0
46,CPI_51,Titanium dioxide,13463-67-7,0.25,,79.867,1843,2972,4.23,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"brightener
viscosity_modifier
uv_stabilizer",3,0,0
47,CPI_52,Zinc oxide,1314-13-2,0.2,,81.37,1975,2360,5.605,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"colorant
uv_stabilizer",2,0,0
48,CPI_53,Zinc oxide,1314-13-2,0.00619469,,81.37,1975,2360,5.605,HM.1400.010.040.F,HM,paint/stain and related products ,paint,exterior,F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"colorant
uv_stabilizer",2,0,0
49,CPI_55,Zinc oxide,1314-13-2,0.22,,81.37,1975,2360,5.605,PC.2900.010.099.F,PC,sunscreen ,sunscreen ,NOC,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"humectant
filler
uv_stabilizer",3,0,0
